unitid,year,applied,admitted,enrolled,est_fte,grad_rate_150,inst_name,acceptance_rate,yield_rate,is_bowdoin
164562,2002,2764.0,2132.0,622.0,,69.3,ASSUMPTION COLLEGE,77.13458755426917,29.174484052532833,False
164739,2002,5082.0,2350.0,912.0,,82.0,BENTLEY COLLEGE,46.24163715072806,38.808510638297875,False
165662,2002,3805.0,1993.0,651.0,,67.9,EMERSON COLLEGE,52.3784494086728,32.66432513798294,False
165671,2002,1463.0,1027.0,313.0,,57.1,EMMANUEL COLLEGE,70.19822282980178,30.47711781888997,False
166452,2002,347.0,288.0,119.0,,74.1,LESLEY UNIVERSITY,82.9971181556196,41.31944444444444,False
167783,2002,1753.0,1231.0,328.0,,75.1,SIMMONS COLLEGE,70.22247575584713,26.645004061738426,False
167899,2002,2196.0,1596.0,590.0,,71.1,SPRINGFIELD COLLEGE,72.6775956284153,36.96741854636591,False
168005,2002,3466.0,2928.0,793.0,,58.9,SUFFOLK UNIVERSITY,84.47778418926717,27.083333333333332,False
168254,2002,4180.0,3061.0,688.0,,67.7,WESTERN NEW ENGLAND COLLEGE,73.22966507177033,22.476314929761514,False
168290,2002,513.0,407.0,138.0,,55.3,WHEELOCK COLLEGE,79.33723196881091,33.90663390663391,False
169716,2002,1631.0,1230.0,362.0,,60.0,UNIVERSITY OF DETROIT MERCY,75.41385652973635,29.43089430894309,False
170675,2002,1208.0,1011.0,422.0,,59.2,LAWRENCE TECHNOLOGICAL UNIVERSITY,83.69205298013244,41.740850642927796,False
170806,2002,580.0,545.0,212.0,,52.9,MADONNA UNIVERSITY,93.96551724137932,38.899082568807344,False
170842,2002,256.0,65.0,42.0,,26.1,MARYGROVE COLLEGE,25.390625,64.61538461538461,False
172264,2002,870.0,627.0,229.0,,61.3,SIENA HEIGHTS UNIVERSITY,72.06896551724138,36.52312599681021,False
173160,2002,2058.0,1621.0,610.0,,71.5,BETHEL COLLEGE,78.76579203109816,37.631091918568785,False
173665,2002,1619.0,1273.0,417.0,,69.8,HAMLINE UNIVERSITY,78.62878319950588,32.757266300078555,False
174817,2002,1122.0,881.0,397.0,,62.4,SAINT MARY'S UNIVERSITY OF MINNESOTA,78.5204991087344,45.062429057888764,False
174899,2002,1085.0,952.0,395.0,,66.7,THE COLLEGE OF SAINT SCHOLASTICA,87.74193548387098,41.491596638655466,False
175005,2002,974.0,742.0,405.0,,56.4,COLLEGE OF ST CATHERINE,76.18069815195072,54.58221024258761,False
176053,2002,1145.0,777.0,412.0,,71.3,MISSISSIPPI COLLEGE,67.86026200873363,53.024453024453024,False
176479,2002,264.0,160.0,129.0,,35.1,WILLIAM CAREY COLLEGE,60.60606060606061,80.625,False
176628,2002,801.0,394.0,131.0,,47.4,AVILA COLLEGE,49.188514357053684,33.24873096446701,False
177418,2002,474.0,386.0,190.0,,52.4,FONTBONNE UNIVERSITY,81.43459915611815,49.22279792746114,False
177968,2002,2271.0,1063.0,675.0,,44.6,LINDENWOOD UNIVERSITY,46.8075737560546,63.49952963311382,False
178059,2002,1007.0,761.0,303.0,,67.6,MARYVILLE UNIVERSITY OF SAINT LOUIS,75.57100297914597,39.816031537450726,False
178721,2002,424.0,304.0,159.0,,40.5,PARK UNIVERSITY,71.69811320754717,52.30263157894737,False
179043,2002,1032.0,860.0,214.0,,71.4,ROCKHURST UNIVERSITY,83.33333333333334,24.88372093023256,False
179894,2002,1118.0,646.0,387.0,,61.7,WEBSTER UNIVERSITY,57.78175313059034,59.907120743034056,False
179964,2002,534.0,502.0,204.0,,48.5,WILLIAM WOODS UNIVERSITY,94.00749063670412,40.63745019920319,False
180814,2002,0.0,0.0,0.0,,20.8,BELLEVUE UNIVERSITY,,,False
181002,2002,2605.0,2348.0,746.0,,73.5,CREIGHTON UNIVERSITY,90.13435700575816,31.771720613287908,False
183211,2002,899.0,728.0,186.0,,49.0,RIVIER COLLEGE,80.97886540600668,25.549450549450547,False
184603,2002,4993.0,3556.0,1146.0,,45.7,FAIRLEIGH DICKINSON UNIVERSITY-ALL CAMPUSES,71.21970759062688,32.227221597300336,False
184773,2002,489.0,385.0,183.0,,60.4,GEORGIAN COURT COLLEGE,78.7321063394683,47.53246753246753,False
185572,2002,5201.0,3806.0,950.0,,56.5,MONMOUTH UNIVERSITY,73.17823495481638,24.96058854440357,False
186283,2002,4091.0,3338.0,961.0,,61.4,RIDER UNIVERSITY,81.59374236128086,28.789694427801077,False
186432,2002,2047.0,1365.0,462.0,,48.4,SAINT PETERS COLLEGE,66.6829506595017,33.84615384615385,False
188641,2002,1540.0,1102.0,334.0,,69.8,ALFRED UNIVERSITY,71.55844155844156,30.30852994555354,False
189705,2002,0.0,0.0,0.0,,76.6,CANISIUS COLLEGE,,,False
190770,2002,0.0,0.0,0.0,,66.4,DOWLING COLLEGE,,,False
191931,2002,3318.0,2293.0,800.0,,65.4,IONA COLLEGE,69.1078963230862,34.888791975577846,False
